Dataset,method,Experiment,Accuracy
15_magic,1_zero+knn,1,0.7909 ± 0.0078
15_magic,1_zero+knn,2,0.7984 ± 0.0114
15_magic,1_zero+knn,3,0.7957 ± 0.0115
15_magic,1_zero+knn,4,0.7950 ± 0.0114
15_magic,1_zero+knn,5,0.7944 ± 0.0127
15_magic,1_zero+knn,6,0.7942 ± 0.0144
15_magic,1_zero+knn,7,0.7939 ± 0.0133
15_magic,1_zero+knn,8,0.7949 ± 0.0150
15_magic,1_zero+knn,9,0.7953 ± 0.0153
15_magic,1_zero+knn,10,0.7946 ± 0.0155
15_magic,2_zero + dynamic,1,0.7495 ± 0.0735
15_magic,2_zero + dynamic,2,0.7458 ± 0.0780
15_magic,2_zero + dynamic,3,0.7458 ± 0.0786
15_magic,2_zero + dynamic,4,0.7443 ± 0.0760
15_magic,2_zero + dynamic,5,0.7440 ± 0.0741
15_magic,2_zero + dynamic,6,0.7427 ± 0.0732
15_magic,2_zero + dynamic,7,0.7421 ± 0.0728
15_magic,2_zero + dynamic,8,0.7408 ± 0.0733
15_magic,2_zero + dynamic,9,0.7401 ± 0.0734
15_magic,2_zero + dynamic,10,0.7405 ± 0.0725
15_magic,3_zero+datawig,1,0.7863 ± 0.0103
15_magic,3_zero+datawig,2,0.7879 ± 0.0090
15_magic,3_zero+datawig,3,0.7826 ± 0.0117
15_magic,3_zero+datawig,4,0.7836 ± 0.0107
15_magic,3_zero+datawig,5,0.7817 ± 0.0104
15_magic,3_zero+datawig,6,0.7808 ± 0.0099
15_magic,3_zero+datawig,7,0.7820 ± 0.0096
15_magic,3_zero+datawig,8,0.7832 ± 0.0096
15_magic,3_zero+datawig,9,0.7840 ± 0.0094
15_magic,3_zero+datawig,10,0.7850 ± 0.0094
